环境温度：
环境温度：
排烟温度：x
Aerfa	q2	q4	dq2	dq4
1	3.9843	0.0407509	-97.5158	0.155422
1.01	4.01216	0.0406919	2.78617	-0.00590637
1.02	4.04002	0.0406339	2.78617	-0.00579401
1.03	4.06788	0.0405771	2.78617	-0.00568468
1.04	4.09575	0.0405213	2.78617	-0.00557828
1.05	4.12361	0.0404666	2.78617	-0.00547471
1.06	4.15147	0.0404128	2.78617	-0.00537388
1.07	4.17933	0.0403601	2.78617	-0.0052757
1.08	4.20719	0.0403083	2.78617	-0.00518008
1.09	4.23505	0.0402574	2.78617	-0.00508693
1.1	4.26292	0.0402074	2.78617	-0.00499618
1.11	4.29078	0.0401583	2.78617	-0.00490775
1.12	4.31864	0.0401101	2.78617	-0.00482156
1.13	4.3465	0.0400628	2.78617	-0.00473753
1.14	4.37436	0.0400162	2.78617	-0.00465561
1.15	4.40222	0.0399704	2.78617	-0.00457572
1.16	4.43009	0.0399255	2.78617	-0.00449781
1.17	4.45795	0.0398812	2.78617	-0.0044218
1.18	4.48581	0.0398378	2.78617	-0.00434763
1.19	4.51367	0.039795	2.78617	-0.00427526
1.2	4.54153	0.039753	2.78617	-0.00420463
1.21	4.56939	0.0397116	2.78617	-0.00413568
1.22	4.59726	0.0396709	2.78617	-0.00406836
1.23	4.62512	0.0396309	2.78617	-0.00400262
1.24	4.65298	0.0395915	2.78617	-0.00393842
1.25	4.68084	0.0395528	2.78617	-0.0038757
1.26	4.7087	0.0395146	2.78617	-0.00381443
1.27	4.73656	0.0394771	2.78617	-0.00375456
1.28	4.76443	0.0394401	2.78617	-0.00369606
1.29	4.79229	0.0394037	2.78617	-0.00363887
1.3	4.82015	0.0393679	2.78617	-0.00358297
1.31	4.84801	0.0393326	2.78617	-0.00352831
1.32	4.87587	0.0392979	2.78617	-0.00347486
1.33	4.90373	0.0392636	2.78617	-0.00342258
1.34	4.9316	0.0392299	2.78617	-0.00337145
1.35	4.95946	0.0391967	2.78617	-0.00332143
1.36	4.98732	0.039164	2.78617	-0.00327249
1.37	5.01518	0.0391317	2.78617	-0.00322459
1.38	5.04304	0.0391	2.78617	-0.00317772
1.39	5.0709	0.0390686	2.78617	-0.00313184
1.4	5.09877	0.0390378	2.78617	-0.00308692
1.41	5.12663	0.0390073	2.78617	-0.00304294
1.42	5.15449	0.0389773	2.78617	-0.00299987
1.43	5.18235	0.0389478	2.78617	-0.00295769
1.44	5.21021	0.0389186	2.78617	-0.00291638
1.45	5.23807	0.0388898	2.78617	-0.00287591
1.46	5.26594	0.0388615	2.78617	-0.00283625
1.47	5.2938	0.0388335	2.78617	-0.0027974
1.48	5.32166	0.0388059	2.78617	-0.00275932
1.49	5.34952	0.0387787	2.78617	-0.002722
1.5	5.37738	0.0387518	2.78617	-0.00268542
1.51	5.40524	0.0387253	2.78617	-0.00264956
1.52	5.43311	0.0386992	2.78617	-0.00261439
1.53	5.46097	0.0386734	2.78617	-0.00257991
1.54	5.48883	0.0386479	2.78617	-0.0025461
1.55	5.51669	0.0386228	2.78617	-0.00251293
1.56	5.54455	0.038598	2.78617	-0.00248039
1.57	5.57241	0.0385735	2.78617	-0.00244847
1.58	5.60028	0.0385494	2.78617	-0.00241716
1.59	5.62814	0.0385255	2.78617	-0.00238643
1.6	5.656	0.0385019	2.78617	-0.00235627
1.61	5.68386	0.0384787	2.78617	-0.00232667
1.62	5.71172	0.0384557	2.78617	-0.00229762
1.63	5.73958	0.038433	2.78617	-0.0022691
1.64	5.76745	0.0384106	2.78617	-0.00224109
1.65	5.79531	0.0383884	2.78617	-0.0022136
1.66	5.82317	0.0383666	2.78617	-0.0021866
1.67	5.85103	0.038345	2.78617	-0.00216008
1.68	5.87889	0.0383236	2.78617	-0.00213403
1.69	5.90675	0.0383026	2.78617	-0.00210845
1.7	5.93462	0.0382817	2.78617	-0.00208332
1.71	5.96248	0.0382611	2.78617	-0.00205862
1.72	5.99034	0.0382408	2.78617	-0.00203436
1.73	6.0182	0.0382207	2.78617	-0.00201052
1.74	6.04606	0.0382008	2.78617	-0.00198709
1.75	6.07392	0.0381812	2.78617	-0.00196405
1.76	6.10179	0.0381618	2.78617	-0.00194142
1.77	6.12965	0.0381426	2.78617	-0.00191916
1.78	6.15751	0.0381236	2.78617	-0.00189728
1.79	6.18537	0.0381048	2.78617	-0.00187577
1.8	6.21323	0.0380863	2.78617	-0.00185462
1.81	6.24109	0.038068	2.78617	-0.00183382
1.82	6.26896	0.0380498	2.78617	-0.00181336
1.83	6.29682	0.0380319	2.78617	-0.00179323
1.84	6.32468	0.0380142	2.78617	-0.00177344
1.85	6.35254	0.0379966	2.78617	-0.00175397
1.86	6.3804	0.0379793	2.78617	-0.00173481
1.87	6.40826	0.0379621	2.78617	-0.00171596
1.88	6.43613	0.0379451	2.78617	-0.00169742
1.89	6.46399	0.0379283	2.78617	-0.00167916
1.9	6.49185	0.0379117	2.78617	-0.0016612
1.91	6.51971	0.0378953	2.78617	-0.00164352
1.92	6.54757	0.037879	2.78617	-0.00162612
1.93	6.57543	0.0378629	2.78617	-0.00160899
1.94	6.6033	0.037847	2.78617	-0.00159213
1.95	6.63116	0.0378313	2.78617	-0.00157553
1.96	6.65902	0.0378157	2.78617	-0.00155918
1.97	6.68688	0.0378002	2.78617	-0.00154308
1.98	6.71474	0.037785	2.78617	-0.00152723
1.99	6.7426	0.0377699	2.78617	-0.00151162
