测试样本数	面积比例	正常率	异常率
100	0.785398	0.82	0.01
101	0.785398	0.732673	0.049505
102	0.785398	0.764706	0.0196078
103	0.785398	0.796117	0.0291262
104	0.785398	0.759615	0.0288462
105	0.785398	0.742857	0.00952381
106	0.785398	0.754717	0.0188679
107	0.785398	0.813084	0.00934579
108	0.785398	0.768519	0.0185185
109	0.785398	0.697248	0.00917431
110	0.785398	0.854545	0.0181818
111	0.785398	0.72973	0
112	0.785398	0.803571	0.0178571
113	0.785398	0.80531	0.0176991
114	0.785398	0.789474	0
115	0.785398	0.808696	0.026087
116	0.785398	0.689655	0.0431034
117	0.785398	0.726496	0.025641
118	0.785398	0.745763	0.00847458
119	0.785398	0.798319	0.00840336
120	0.785398	0.775	0
121	0.785398	0.752066	0.0247934
122	0.785398	0.762295	0
123	0.785398	0.731707	0.0243902
124	0.785398	0.790323	0.00806452
125	0.785398	0.808	0
126	0.785398	0.746032	0
127	0.785398	0.755906	0.00787402
128	0.785398	0.804688	0.0078125
129	0.785398	0.736434	0
130	0.785398	0.769231	0.00769231
131	0.785398	0.770992	0.0381679
132	0.785398	0.75	0.0227273
133	0.785398	0.774436	0.0150376
134	0.785398	0.746269	0.0149254
135	0.785398	0.8	0
136	0.785398	0.801471	0.0367647
137	0.785398	0.766423	0.00729927
138	0.785398	0.789855	0.00724638
139	0.785398	0.776978	0.00719424
140	0.785398	0.785714	0.00714286
141	0.785398	0.780142	0.0070922
142	0.785398	0.767606	0.0211268
143	0.785398	0.762238	0.020979
144	0.785398	0.763889	0.00694444
145	0.785398	0.772414	0
146	0.785398	0.739726	0
147	0.785398	0.761905	0.00680272
148	0.785398	0.722973	0.0202703
149	0.785398	0.765101	0.033557
150	0.785398	0.706667	0.0133333
151	0.785398	0.768212	0
152	0.785398	0.743421	0.00657895
153	0.785398	0.771242	0.00653595
154	0.785398	0.792208	0.012987
155	0.785398	0.696774	0.00645161
156	0.785398	0.737179	0.00641026
157	0.785398	0.796178	0.00636943
158	0.785398	0.740506	0.0253165
159	0.785398	0.81761	0.0125786
160	0.785398	0.80625	0.01875
161	0.785398	0.813665	0.00621118
162	0.785398	0.777778	0.0123457
163	0.785398	0.803681	0.0184049
164	0.785398	0.77439	0.0182927
165	0.785398	0.781818	0.00606061
166	0.785398	0.73494	0.0240964
167	0.785398	0.778443	0.00598802
168	0.785398	0.785714	0.0178571
169	0.785398	0.822485	0.00591716
170	0.785398	0.811765	0
171	0.785398	0.736842	0.0175439
172	0.785398	0.744186	0.0232558
173	0.785398	0.780347	0.0231214
174	0.785398	0.764368	0.0229885
175	0.785398	0.8	0.00571429
176	0.785398	0.795455	0.0397727
177	0.785398	0.757062	0.0112994
178	0.785398	0.780899	0.0224719
179	0.785398	0.782123	0.0167598
180	0.785398	0.794444	0.00555556
181	0.785398	0.790055	0.0110497
182	0.785398	0.774725	0.00549451
183	0.785398	0.770492	0.010929
184	0.785398	0.782609	0.0217391
185	0.785398	0.756757	0.0324324
186	0.785398	0.801075	0.0107527
187	0.785398	0.705882	0.0160428
188	0.785398	0.771277	0.00531915
189	0.785398	0.740741	0.026455
190	0.785398	0.694737	0.0105263
191	0.785398	0.795812	0.0104712
192	0.785398	0.760417	0.015625
193	0.785398	0.787565	0.0103627
194	0.785398	0.778351	0.00515464
195	0.785398	0.74359	0.0205128
196	0.785398	0.75	0.0204082
197	0.785398	0.741117	0.0101523
198	0.785398	0.777778	0.0151515
199	0.785398	0.809045	0.0100503
200	0.785398	0.785	0.01
201	0.785398	0.751244	0.00995025
202	0.785398	0.792079	0.019802
203	0.785398	0.763547	0.0197044
204	0.785398	0.808824	0.00980392
205	0.785398	0.736585	0.0195122
206	0.785398	0.791262	0.0436893
207	0.785398	0.729469	0.0144928
208	0.785398	0.783654	0.00961538
209	0.785398	0.722488	0.0191388
210	0.785398	0.752381	0.0047619
211	0.785398	0.777251	0.014218
212	0.785398	0.768868	0.0141509
213	0.785398	0.760563	0.0187793
214	0.785398	0.780374	0.0233645
215	0.785398	0.725581	0.0139535
216	0.785398	0.787037	0.0185185
217	0.785398	0.769585	0.0230415
218	0.785398	0.756881	0.0137615
219	0.785398	0.799087	0.0182648
220	0.785398	0.781818	0.00909091
221	0.785398	0.773756	0.0271493
222	0.785398	0.81982	0.00900901
223	0.785398	0.793722	0.00896861
224	0.785398	0.785714	0.0133929
225	0.785398	0.782222	0.00444444
226	0.785398	0.743363	0.0221239
227	0.785398	0.788546	0.00440529
228	0.785398	0.72807	0.00877193
229	0.785398	0.781659	0.00873362
230	0.785398	0.713043	0.026087
231	0.785398	0.757576	0.021645
232	0.785398	0.788793	0.00431034
233	0.785398	0.751073	0.0300429
234	0.785398	0.739316	0.0128205
235	0.785398	0.829787	0.012766
236	0.785398	0.741525	0
237	0.785398	0.738397	0.0253165
238	0.785398	0.789916	0.0210084
239	0.785398	0.794979	0.0167364
240	0.785398	0.783333	0.00833333
241	0.785398	0.755187	0.0207469
242	0.785398	0.785124	0.0206612
243	0.785398	0.753086	0.00411523
244	0.785398	0.790984	0.0122951
245	0.785398	0.75102	0.0163265
246	0.785398	0.739837	0.00406504
247	0.785398	0.728745	0.0121457
248	0.785398	0.762097	0.00806452
249	0.785398	0.746988	0.0120482
250	0.785398	0.74	0.016
251	0.785398	0.760956	0.00796813
252	0.785398	0.801587	0.00396825
253	0.785398	0.790514	0.00395257
254	0.785398	0.704724	0.015748
255	0.785398	0.772549	0.0196078
256	0.785398	0.796875	0.015625
257	0.785398	0.747082	0.0155642
258	0.785398	0.755814	0.0193798
259	0.785398	0.779923	0.00772201
260	0.785398	0.784615	0.00769231
261	0.785398	0.789272	0.0191571
262	0.785398	0.778626	0.00381679
263	0.785398	0.741445	0.0190114
264	0.785398	0.734848	0.0151515
265	0.785398	0.788679	0.00754717
266	0.785398	0.778195	0.0112782
267	0.785398	0.82397	0.011236
268	0.785398	0.809701	0.0223881
269	0.785398	0.806691	0.0223048
270	0.785398	0.781481	0.00740741
271	0.785398	0.778598	0.0184502
272	0.785398	0.742647	0.0220588
273	0.785398	0.791209	0.014652
274	0.785398	0.788321	0.00729927
275	0.785398	0.770909	0.0145455
276	0.785398	0.797101	0
277	0.785398	0.772563	0.0180505
278	0.785398	0.76259	0.0143885
279	0.785398	0.74552	0.0107527
280	0.785398	0.767857	0.0107143
281	0.785398	0.75089	0.0284698
282	0.785398	0.744681	0
283	0.785398	0.780919	0.0106007
284	0.785398	0.785211	0.00352113
285	0.785398	0.785965	0.0175439
286	0.785398	0.800699	0.0174825
287	0.785398	0.738676	0.0278746
288	0.785398	0.784722	0.0104167
289	0.785398	0.733564	0.00346021
290	0.785398	0.765517	0.00344828
291	0.785398	0.756014	0.0137457
292	0.785398	0.767123	0.00342466
293	0.785398	0.78157	0.00341297
294	0.785398	0.772109	0.0102041
295	0.785398	0.766102	0.0305085
296	0.785398	0.763514	0.00337838
297	0.785398	0.76431	0.023569
298	0.785398	0.778523	0.00671141
299	0.785398	0.785953	0.0167224
300	0.785398	0.796667	0.0166667
301	0.785398	0.787375	0.0166113
302	0.785398	0.791391	0.00331126
303	0.785398	0.735974	0.00660066
304	0.785398	0.773026	0.00986842
305	0.785398	0.754098	0.00655738
306	0.785398	0.77451	0.0228758
307	0.785398	0.765472	0.00977199
308	0.785398	0.772727	0.012987
309	0.785398	0.799353	0.012945
310	0.785398	0.732258	0.00967742
311	0.785398	0.765273	0.0096463
312	0.785398	0.772436	0.0384615
313	0.785398	0.779553	0.0127796
314	0.785398	0.742038	0.022293
315	0.785398	0.711111	0.0190476
316	0.785398	0.762658	0.0158228
317	0.785398	0.744479	0.0252366
318	0.785398	0.77673	0.0125786
319	0.785398	0.811912	0.00940439
320	0.785398	0.809375	0.015625
321	0.785398	0.778816	0.0249221
322	0.785398	0.770186	0.0248447
323	0.785398	0.804954	0.0123839
324	0.785398	0.765432	0.0123457
325	0.785398	0.815385	0.00307692
326	0.785398	0.797546	0.00920245
327	0.785398	0.779817	0.0183486
328	0.785398	0.710366	0.0121951
329	0.785398	0.778116	0.0151976
