理论空气量：6.23207
环境温度：20
排烟温度：101
Aerfa	q2	q4	dq2	dq4
1	3.22323	0.0407509	-78.9753	0.155422
1.01	3.2458	0.0406919	2.25644	-0.00590637
1.02	3.26836	0.0406339	2.25644	-0.00579401
1.03	3.29093	0.0405771	2.25644	-0.00568468
1.04	3.31349	0.0405213	2.25644	-0.00557828
1.05	3.33605	0.0404666	2.25644	-0.00547471
1.06	3.35862	0.0404128	2.25644	-0.00537388
1.07	3.38118	0.0403601	2.25644	-0.0052757
1.08	3.40375	0.0403083	2.25644	-0.00518008
1.09	3.42631	0.0402574	2.25644	-0.00508693
1.1	3.44888	0.0402074	2.25644	-0.00499618
1.11	3.47144	0.0401583	2.25644	-0.00490775
1.12	3.494	0.0401101	2.25644	-0.00482156
1.13	3.51657	0.0400628	2.25644	-0.00473753
1.14	3.53913	0.0400162	2.25644	-0.00465561
1.15	3.5617	0.0399704	2.25644	-0.00457572
1.16	3.58426	0.0399255	2.25644	-0.00449781
1.17	3.60683	0.0398812	2.25644	-0.0044218
1.18	3.62939	0.0398378	2.25644	-0.00434763
1.19	3.65196	0.039795	2.25644	-0.00427526
1.2	3.67452	0.039753	2.25644	-0.00420463
1.21	3.69708	0.0397116	2.25644	-0.00413568
1.22	3.71965	0.0396709	2.25644	-0.00406836
1.23	3.74221	0.0396309	2.25644	-0.00400262
1.24	3.76478	0.0395915	2.25644	-0.00393842
1.25	3.78734	0.0395528	2.25644	-0.0038757
1.26	3.80991	0.0395146	2.25644	-0.00381443
1.27	3.83247	0.0394771	2.25644	-0.00375456
1.28	3.85503	0.0394401	2.25644	-0.00369606
1.29	3.8776	0.0394037	2.25644	-0.00363887
1.3	3.90016	0.0393679	2.25644	-0.00358297
1.31	3.92273	0.0393326	2.25644	-0.00352831
1.32	3.94529	0.0392979	2.25644	-0.00347486
1.33	3.96786	0.0392636	2.25644	-0.00342258
1.34	3.99042	0.0392299	2.25644	-0.00337145
1.35	4.01299	0.0391967	2.25644	-0.00332143
1.36	4.03555	0.039164	2.25644	-0.00327249
1.37	4.05811	0.0391317	2.25644	-0.00322459
1.38	4.08068	0.0391	2.25644	-0.00317772
1.39	4.10324	0.0390686	2.25644	-0.00313184
1.4	4.12581	0.0390378	2.25644	-0.00308692
1.41	4.14837	0.0390073	2.25644	-0.00304294
1.42	4.17094	0.0389773	2.25644	-0.00299987
1.43	4.1935	0.0389478	2.25644	-0.00295769
1.44	4.21606	0.0389186	2.25644	-0.00291638
1.45	4.23863	0.0388898	2.25644	-0.00287591
1.46	4.26119	0.0388615	2.25644	-0.00283625
1.47	4.28376	0.0388335	2.25644	-0.0027974
1.48	4.30632	0.0388059	2.25644	-0.00275932
1.49	4.32889	0.0387787	2.25644	-0.002722
1.5	4.35145	0.0387518	2.25644	-0.00268542
1.51	4.37402	0.0387253	2.25644	-0.00264956
1.52	4.39658	0.0386992	2.25644	-0.00261439
1.53	4.41914	0.0386734	2.25644	-0.00257991
1.54	4.44171	0.0386479	2.25644	-0.0025461
1.55	4.46427	0.0386228	2.25644	-0.00251293
1.56	4.48684	0.038598	2.25644	-0.00248039
1.57	4.5094	0.0385735	2.25644	-0.00244847
1.58	4.53197	0.0385494	2.25644	-0.00241716
1.59	4.55453	0.0385255	2.25644	-0.00238643
1.6	4.57709	0.0385019	2.25644	-0.00235627
1.61	4.59966	0.0384787	2.25644	-0.00232667
1.62	4.62222	0.0384557	2.25644	-0.00229762
1.63	4.64479	0.038433	2.25644	-0.0022691
1.64	4.66735	0.0384106	2.25644	-0.00224109
1.65	4.68992	0.0383884	2.25644	-0.0022136
1.66	4.71248	0.0383666	2.25644	-0.0021866
1.67	4.73504	0.038345	2.25644	-0.00216008
1.68	4.75761	0.0383236	2.25644	-0.00213403
1.69	4.78017	0.0383026	2.25644	-0.00210845
1.7	4.80274	0.0382817	2.25644	-0.00208332
1.71	4.8253	0.0382611	2.25644	-0.00205862
1.72	4.84787	0.0382408	2.25644	-0.00203436
1.73	4.87043	0.0382207	2.25644	-0.00201052
1.74	4.893	0.0382008	2.25644	-0.00198709
1.75	4.91556	0.0381812	2.25644	-0.00196405
1.76	4.93812	0.0381618	2.25644	-0.00194142
1.77	4.96069	0.0381426	2.25644	-0.00191916
1.78	4.98325	0.0381236	2.25644	-0.00189728
1.79	5.00582	0.0381048	2.25644	-0.00187577
1.8	5.02838	0.0380863	2.25644	-0.00185462
1.81	5.05095	0.038068	2.25644	-0.00183382
1.82	5.07351	0.0380498	2.25644	-0.00181336
1.83	5.09607	0.0380319	2.25644	-0.00179323
1.84	5.11864	0.0380142	2.25644	-0.00177344
1.85	5.1412	0.0379966	2.25644	-0.00175397
1.86	5.16377	0.0379793	2.25644	-0.00173481
1.87	5.18633	0.0379621	2.25644	-0.00171596
1.88	5.2089	0.0379451	2.25644	-0.00169742
1.89	5.23146	0.0379283	2.25644	-0.00167916
1.9	5.25403	0.0379117	2.25644	-0.0016612
1.91	5.27659	0.0378953	2.25644	-0.00164352
1.92	5.29915	0.037879	2.25644	-0.00162612
1.93	5.32172	0.0378629	2.25644	-0.00160899
1.94	5.34428	0.037847	2.25644	-0.00159213
1.95	5.36685	0.0378313	2.25644	-0.00157553
1.96	5.38941	0.0378157	2.25644	-0.00155918
1.97	5.41198	0.0378002	2.25644	-0.00154308
1.98	5.43454	0.037785	2.25644	-0.00152723
1.99	5.4571	0.0377699	2.25644	-0.00151162
