理论空气量：6.23207
环境温度：20
排烟温度：105.5
Aerfa	q2	q4	dq2	dq4
1	3.40331	0.0407509	-83.3657	0.155422
1.01	3.42713	0.0406919	2.38188	-0.00590637
1.02	3.45094	0.0406339	2.38188	-0.00579401
1.03	3.47476	0.0405771	2.38188	-0.00568468
1.04	3.49858	0.0405213	2.38188	-0.00557828
1.05	3.5224	0.0404666	2.38188	-0.00547471
1.06	3.54622	0.0404128	2.38188	-0.00537388
1.07	3.57004	0.0403601	2.38188	-0.0052757
1.08	3.59386	0.0403083	2.38188	-0.00518008
1.09	3.61768	0.0402574	2.38188	-0.00508693
1.1	3.64149	0.0402074	2.38188	-0.00499618
1.11	3.66531	0.0401583	2.38188	-0.00490775
1.12	3.68913	0.0401101	2.38188	-0.00482156
1.13	3.71295	0.0400628	2.38188	-0.00473753
1.14	3.73677	0.0400162	2.38188	-0.00465561
1.15	3.76059	0.0399704	2.38188	-0.00457572
1.16	3.78441	0.0399255	2.38188	-0.00449781
1.17	3.80823	0.0398812	2.38188	-0.0044218
1.18	3.83204	0.0398378	2.38188	-0.00434763
1.19	3.85586	0.039795	2.38188	-0.00427526
1.2	3.87968	0.039753	2.38188	-0.00420463
1.21	3.9035	0.0397116	2.38188	-0.00413568
1.22	3.92732	0.0396709	2.38188	-0.00406836
1.23	3.95114	0.0396309	2.38188	-0.00400262
1.24	3.97496	0.0395915	2.38188	-0.00393842
1.25	3.99878	0.0395528	2.38188	-0.0038757
1.26	4.02259	0.0395146	2.38188	-0.00381443
1.27	4.04641	0.0394771	2.38188	-0.00375456
1.28	4.07023	0.0394401	2.38188	-0.00369606
1.29	4.09405	0.0394037	2.38188	-0.00363887
1.3	4.11787	0.0393679	2.38188	-0.00358297
1.31	4.14169	0.0393326	2.38188	-0.00352831
1.32	4.16551	0.0392979	2.38188	-0.00347486
1.33	4.18933	0.0392636	2.38188	-0.00342258
1.34	4.21314	0.0392299	2.38188	-0.00337145
1.35	4.23696	0.0391967	2.38188	-0.00332143
1.36	4.26078	0.039164	2.38188	-0.00327249
1.37	4.2846	0.0391317	2.38188	-0.00322459
1.38	4.30842	0.0391	2.38188	-0.00317772
1.39	4.33224	0.0390686	2.38188	-0.00313184
1.4	4.35606	0.0390378	2.38188	-0.00308692
1.41	4.37988	0.0390073	2.38188	-0.00304294
1.42	4.4037	0.0389773	2.38188	-0.00299987
1.43	4.42751	0.0389478	2.38188	-0.00295769
1.44	4.45133	0.0389186	2.38188	-0.00291638
1.45	4.47515	0.0388898	2.38188	-0.00287591
1.46	4.49897	0.0388615	2.38188	-0.00283625
1.47	4.52279	0.0388335	2.38188	-0.0027974
1.48	4.54661	0.0388059	2.38188	-0.00275932
1.49	4.57043	0.0387787	2.38188	-0.002722
1.5	4.59425	0.0387518	2.38188	-0.00268542
1.51	4.61806	0.0387253	2.38188	-0.00264956
1.52	4.64188	0.0386992	2.38188	-0.00261439
1.53	4.6657	0.0386734	2.38188	-0.00257991
1.54	4.68952	0.0386479	2.38188	-0.0025461
1.55	4.71334	0.0386228	2.38188	-0.00251293
1.56	4.73716	0.038598	2.38188	-0.00248039
1.57	4.76098	0.0385735	2.38188	-0.00244847
1.58	4.7848	0.0385494	2.38188	-0.00241716
1.59	4.80861	0.0385255	2.38188	-0.00238643
1.6	4.83243	0.0385019	2.38188	-0.00235627
1.61	4.85625	0.0384787	2.38188	-0.00232667
1.62	4.88007	0.0384557	2.38188	-0.00229762
1.63	4.90389	0.038433	2.38188	-0.0022691
1.64	4.92771	0.0384106	2.38188	-0.00224109
1.65	4.95153	0.0383884	2.38188	-0.0022136
1.66	4.97535	0.0383666	2.38188	-0.0021866
1.67	4.99916	0.038345	2.38188	-0.00216008
1.68	5.02298	0.0383236	2.38188	-0.00213403
1.69	5.0468	0.0383026	2.38188	-0.00210845
1.7	5.07062	0.0382817	2.38188	-0.00208332
1.71	5.09444	0.0382611	2.38188	-0.00205862
1.72	5.11826	0.0382408	2.38188	-0.00203436
1.73	5.14208	0.0382207	2.38188	-0.00201052
1.74	5.1659	0.0382008	2.38188	-0.00198709
1.75	5.18971	0.0381812	2.38188	-0.00196405
1.76	5.21353	0.0381618	2.38188	-0.00194142
1.77	5.23735	0.0381426	2.38188	-0.00191916
1.78	5.26117	0.0381236	2.38188	-0.00189728
1.79	5.28499	0.0381048	2.38188	-0.00187577
1.8	5.30881	0.0380863	2.38188	-0.00185462
1.81	5.33263	0.038068	2.38188	-0.00183382
1.82	5.35645	0.0380498	2.38188	-0.00181336
1.83	5.38026	0.0380319	2.38188	-0.00179323
1.84	5.40408	0.0380142	2.38188	-0.00177344
1.85	5.4279	0.0379966	2.38188	-0.00175397
1.86	5.45172	0.0379793	2.38188	-0.00173481
1.87	5.47554	0.0379621	2.38188	-0.00171596
1.88	5.49936	0.0379451	2.38188	-0.00169742
1.89	5.52318	0.0379283	2.38188	-0.00167916
1.9	5.547	0.0379117	2.38188	-0.0016612
1.91	5.57082	0.0378953	2.38188	-0.00164352
1.92	5.59463	0.037879	2.38188	-0.00162612
1.93	5.61845	0.0378629	2.38188	-0.00160899
1.94	5.64227	0.037847	2.38188	-0.00159213
1.95	5.66609	0.0378313	2.38188	-0.00157553
1.96	5.68991	0.0378157	2.38188	-0.00155918
1.97	5.71373	0.0378002	2.38188	-0.00154308
1.98	5.73755	0.037785	2.38188	-0.00152723
1.99	5.76137	0.0377699	2.38188	-0.00151162
