理论空气量：6.23207
环境温度：20
排烟温度：124
Aerfa	q2	q4	dq2	dq4
2.35	8.0567	0.0373127	2.89772	-0.00188399
1.85	6.60784	0.0379966	2.89772	-0.00240019
1.6	5.88341	0.0385019	2.89772	-0.00277913
1.475	5.52119	0.0388197	2.89772	-0.00301635
1.4125	5.34009	0.0389998	2.89772	-0.00315047
1.38125	5.24953	0.039096	2.89772	-0.00322201
1.365625	5.20426	0.0391458	2.89772	-0.00325898
1.3578125	5.18162	0.0391711	2.89772	-0.00327777
1.35390625	5.1703	0.0391839	2.89772	-0.00328725
1.351953125	5.16464	0.0391903	2.89772	-0.00329201
1.3509765625	5.16181	0.0391935	2.89772	-0.00329439
1.35048828125	5.16039	0.0391951	2.89772	-0.00329559
1.35024414063	5.15969	0.0391959	2.89772	-0.00329618
1.35012207031	5.15933	0.0391963	2.89772	-0.00329648
1.35006103516	5.15916	0.0391965	2.89772	-0.00329663
1.35003051758	5.15907	0.0391966	2.89772	-0.00329671
1.35001525879	5.15902	0.0391967	2.89772	-0.00329674
1.35000762939	5.159	0.0391967	2.89772	-0.00329676
1.3500038147	5.15899	0.0391967	2.89772	-0.00329677
1.35000190735	5.15899	0.0391967	2.89772	-0.00329678
1.35000095367	5.15898	0.0391967	2.89772	-0.00329678
1.35000047684	5.15898	0.0391967	2.89772	-0.00329678
1.35000023842	5.15898	0.0391967	2.89772	-0.00329678
1.35000011921	5.15898	0.0391967	2.89772	-0.00329678
1.3500000596	5.15898	0.0391967	2.89772	-0.00329678
1.3500000298	5.15898	0.0391967	2.89772	-0.00329678
1.3500000149	5.15898	0.0391967	2.89772	-0.00329676
